genome	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
SRS1992962_vamb_210	80.14	88.27	0.65	80.14	Neural Network (Specific Model)	11	0.859	22570	287.1403973509934	2265490	0.59	2265		76.89	SRS1992962	3327	2262250	2265490	22570	486	162	10.02437686981158
SRS1992962_vamb_224	69.83	63.23	2.04	69.83	Neural Network (Specific Model)	11	0.904	10014	321.4006653992396	2237025	0.43	2104	 Singleton species	59.629999999999995	SRS1992962	8154	2229095	2237025	10014	1092	299	9.211739392889893
SRS1992962_vamb_4401	82.35	82.35	0.38	86.72	Gradient Boost (General Model)	11	0.862	109662	337.96354992076067	2225396	0.37	1893	 Singleton species	80.44999999999999	SRS1992962	440	2224956	2225396	109662	81	37	11.605158186982496
SRS1992962_vamb_930	99.98	96.73	0.44	99.98	Neural Network (Specific Model)	11	0.909	47382	302.9292851652575	2595559	0.29	2602	 Singleton species	97.78	SRS1992962	3354	2592229	2595559	47382	452	119	10.765997688725635
SRS1992964_vamb_1277	88.86	80.08	0.29	88.86	Neural Network (Specific Model)	11	0.899	32629	314.57634844264373	4139477	0.55	3949		87.41	SRS1992964	1732	4137757	4139477	32629	352	180	10.392956742473556
SRS1992964_vamb_1448	90.4	80.73	0.35	90.4	Neural Network (Specific Model)	11	0.883	97818	315.7942984907769	1915486	0.4	1789		88.65	SRS1992964	20	1915466	1915486	97818	32	30	11.49086388816771
SRS1992964_vamb_1482	65.37	73.73	0.06	65.37	Neural Network (Specific Model)	11	0.894	108219	323.3806164129224	2916603	0.51	2693		65.07000000000001	SRS1992964	700	2915903	2916603	108219	112	42	11.591912230717885
SRS1992964_vamb_1552	99.55	98.98	0.81	99.55	Neural Network (Specific Model)	11	0.875	116746	354.93620593172915	2171251	0.6	1787		95.5	SRS1992964	1800	2169451	2171251	116746	217	37	11.667755913702244
SRS1992964_vamb_2020	72.43	66.17	0.58	72.43	Neural Network (Specific Model)	11	0.889	45083	303.3413768630234	1440003	0.42	1409		69.53	SRS1992964	534	1439473	1440003	45083	102	49	10.716260514297945
SRS1992964_vamb_233	69.53	68.38	0.21	69.53	Neural Network (Specific Model)	11	0.891	15751	333.6182008368201	2143333	0.45	1912		68.48	SRS1992964	5423	2138013	2143333	15751	755	223	9.664659134301736
SRS1992964_vamb_31	80.38	82.39	4.21	80.38	Neural Network (Specific Model)	11	0.859	14038	271.1198637428146	4430496	0.55	4697	 Singleton species	59.33	SRS1992964	10343	4420356	4430496	14038	1495	481	9.549523217290366
SRS1992964_vamb_509	86.28	91.59	0.08	86.28	Neural Network (Specific Model)	11	0.874	47620	309.17151607963245	2073608	0.54	1959		85.88	SRS1992964	1970	2071668	2073608	47620	269	75	10.771008120040854
SRS1992966_vamb_1287	81.47	87.2	0.41	81.47	Neural Network (Specific Model)	11	0.866	69928	340.3323207776428	1936865	0.6	1646		79.42	SRS1992966	2510	1934355	1936865	69928	298	47	11.155221420260323
SRS1992966_vamb_2133	50.55	66.31	0.0	50.55	Neural Network (Specific Model)	11	0.825	22332	292.42721164613664	1895728	0.52	1786		50.55	SRS1992966	21100	1874628	1895728	22332	2222	112	10.01377590643025
SRS1992968_vamb_126	82.94	88.17	0.62	82.94	Neural Network (Specific Model)	11	0.884	10720	290.23646723646726	1725721	0.33	1755		79.84	SRS1992968	18436	1707771	1725721	10720	2021	226	9.279866434624791
SRS1992968_vamb_1576	87.54	92.64	0.05	87.54	Neural Network (Specific Model)	11	0.89	135738	323.00783085356306	4164899	0.51	3831		87.29	SRS1992968	900	4163999	4164899	135738	126	36	11.818481836098812
SRS1992968_vamb_187	100.0	99.45	2.29	100.0	Neural Network (Specific Model)	11	0.859	26244	295.82985852568873	2769948	0.38	2686	 Singleton species	88.55	SRS1992968	1893	2768078	2769948	26244	368	181	10.175192670464767
SRS1992968_vamb_602	82.26	80.34	1.59	82.26	Neural Network (Specific Model)	11	0.865	26217	281.7359234234234	1729157	0.42	1776		74.31	SRS1992968	11917	1717527	1729157	26217	1281	118	10.174163334295654
SRS1992970_vamb_1296	99.98	99.45	0.14	99.98	Neural Network (Specific Model)	11	0.886	219346	311.1350531107739	2078456	0.4	1977		99.28	SRS1992970	220	2078236	2078456	219346	35	13	12.298405670731713
SRS1992970_vamb_1514	67.09	66.55	0.21	67.09	Neural Network (Specific Model)	11	0.879	27480	287.4631342865153	3490161	0.58	3567		66.04	SRS1992970	7630	3482701	3490161	27480	939	193	10.221213746336286
SRS1992970_vamb_1932	86.63	92.5	0.07	86.63	Neural Network (Specific Model)	11	0.884	190968	312.087205966724	1844122	0.42	1743		86.28	SRS1992970	320	1843802	1844122	190968	50	18	12.15986115372548
SRS1992970_vamb_2217	51.8	52.91	0.0	51.8	Neural Network (Specific Model)	11	0.88	51248	314.16530905606135	2231904	0.51	2087		51.8	SRS1992970	1800	2230104	2231904	51248	240	60	10.84443187184894
SRS1992972_vamb_1296	81.85	75.0	0.2	81.85	Neural Network (Specific Model)	11	0.883	210087	319.3907751441384	1690658	0.4	1561		80.85	SRS1992972	420	1690238	1690658	210087	53	11	12.25527700962126
SRS1992972_vamb_1351	54.25	66.94	0.05	54.25	Neural Network (Specific Model)	11	0.891	56327	322.11652739090067	2333045	0.52	2154		54.0	SRS1992972	630	2332415	2333045	56327	118	55	10.938929272881316
SRS1992972_vamb_1665	77.29	79.72	1.31	77.29	Neural Network (Specific Model)	11	0.887	76163	317.87178111587986	3999916	0.58	3728		70.74000000000001	SRS1992972	1330	3998586	3999916	76163	231	98	11.240631059445754
SRS1992972_vamb_1946	55.25	59.82	0.54	55.25	Neural Network (Specific Model)	11	0.862	65841	322.5884057971015	1160476	0.6	1035		52.55	SRS1992972	2062	1158416	1160476	65841	230	24	11.094998023570968
SRS1992972_vamb_2712	85.08	90.56	0.39	85.08	Neural Network (Specific Model)	11	0.835	50145	338.2519379844961	1879392	0.6	1548		83.13	SRS1992972	1013	1878402	1879392	50145	154	55	10.822674087522309
SRS1992972_vamb_641	99.24	100.0	0.03	99.24	Neural Network (Specific Model)	11	0.907	114929	316.8242142025611	1798333	0.35	1718		99.08999999999999	SRS1992972	1609	1796753	1798333	114929	187	29	11.652069825376548
SRS1992972_vamb_661	81.95	86.93	0.29	81.95	Neural Network (Specific Model)	11	0.894	15274	282.5109395109395	1469966	0.33	1554		80.5	SRS1992972	4585	1465546	1469966	15274	582	140	9.63390731544833
SRS1992974_vamb_216	76.82	77.75	0.54	76.82	Neural Network (Specific Model)	11	0.902	19545	283.88856304985336	1284204	0.39	1364		74.11999999999999	SRS1992974	2929	1281364	1284204	19545	373	89	9.880474778227056
SRS1992974_vamb_2580	89.88	90.47	0.0	89.88	Neural Network (Specific Model)	11	0.887	143169	314.7185522652493	4198421	0.51	3951		89.88	SRS1992974	400	4198021	4198421	143169	85	45	11.87178102962648
SRS1992974_vamb_402	82.03	82.8	1.11	82.03	Neural Network (Specific Model)	11	0.894	28140	303.56979096426164	1507546	0.4	1483		76.48	SRS1992974	1392	1506176	1507546	28140	218	81	10.24494733066838
SRS1992974_vamb_699	83.13	91.71	0.45	83.13	Neural Network (Specific Model)	11	0.835	47910	290.3122119815668	1807476	0.44	1736		80.88	SRS1992974	3107	1804416	1807476	47910	369	63	10.777079529877168
SRS1992976_vamb_1329	76.82	83.11	0.02	76.82	Neural Network (Specific Model)	11	0.891	94764	320.09430551370895	3569729	0.51	3319		76.72	SRS1992976	30	3569699	3569729	94764	54	51	11.45914486928558
SRS1992976_vamb_365	94.79	88.8	0.1	94.79	Neural Network (Specific Model)	11	0.887	114896	317.9328125	4811236	0.58	4480		94.29	SRS1992976	270	4810966	4811236	114896	90	63	11.651782650350098
SRS1992978_vamb_1277	98.09	95.64	0.05	98.09	Neural Network (Specific Model)	11	0.898	68201	316.02824339839265	4590616	0.55	4355		97.84	SRS1992978	220	4590396	4590616	68201	114	92	11.130214506480655
SRS1992978_vamb_1401	97.62	97.7	0.39	97.62	Neural Network (Specific Model)	11	0.866	106863	333.2800397219464	2322305	0.6	2014		95.67	SRS1992978	360	2321945	2322305	106863	59	23	11.579302919233356
SRS1992978_vamb_1743	92.22	90.5	0.86	92.22	Neural Network (Specific Model)	11	0.886	83177	314.4772676868485	4791779	0.58	4509		87.92	SRS1992978	780	4790999	4791779	83177	170	92	11.328726146284389
SRS1992980_vamb_1348	97.64	94.41	0.03	97.64	Neural Network (Specific Model)	11	0.892	112206	322.38935026868586	4429976	0.51	4094		97.49	SRS1992980	210	4429766	4429976	112206	84	63	11.628091746576777
SRS1992980_vamb_1630	70.19	71.49	1.96	70.19	Neural Network (Specific Model)	11	0.82	13890	281.4669718770438	1571285	0.6	1529		60.39	SRS1992980	8443	1563085	1571285	13890	999	179	9.53892443574839
SRS1992980_vamb_2338	99.99	100.0	0.25	99.99	Neural Network (Specific Model)	11	0.882	305084	317.7803526448363	2141315	0.39	1985		98.74	SRS1992980	510	2140805	2141315	305084	62	11	12.628342427507286
SRS1992980_vamb_281	77.8	87.3	2.16	77.8	Neural Network (Specific Model)	11	0.884	8257	253.0804111245465	1415803	0.43	1654	 Singleton species	67.0	SRS1992980	6290	1409653	1415803	8257	832	217	9.01881660441743
SRS1992980_vamb_602	82.85	82.81	0.57	82.85	Neural Network (Specific Model)	11	0.886	22453	307.2129854368932	1709768	0.42	1648		80.0	SRS1992980	3821	1706038	1709768	22453	483	110	10.0191795145322
SRS1992988_vamb_1045	94.6	92.34	0.04	94.6	Neural Network (Specific Model)	11	0.89	72065	311.026750142288	1839291	0.42	1757		94.39999999999999	SRS1992988	1039	1838271	1839291	72065	133	31	11.185323768517204
SRS1992988_vamb_1329	84.79	83.11	0.05	84.79	Neural Network (Specific Model)	11	0.89	112521	319.7698285101822	4016111	0.51	3732		84.54	SRS1992988	110	4016001	4016111	112521	63	52	11.630895149873224
SRS1992988_vamb_1442	78.75	84.55	0.01	78.75	Neural Network (Specific Model)	11	0.891	56467	318.9361403508772	1528548	0.38	1425		78.7	SRS1992988	83	1528468	1528548	56467	45	37	10.94141167570228
SRS1992988_vamb_2039	90.03	85.04	1.33	90.03	Neural Network (Specific Model)	11	0.889	44910	318.0322423058134	4386714	0.58	4094		83.38	SRS1992988	1810	4384904	4386714	44910	349	168	10.712415766081785
SRS1992988_vamb_411	89.49	95.18	2.6	89.49	Neural Network (Specific Model)	11	0.886	81917	320.3079977311401	1909929	0.39	1763		76.49	SRS1992988	390	1909539	1909929	81917	76	37	11.313461818509015
SRS1992988_vamb_603	81.18	85.48	0.04	81.18	Neural Network (Specific Model)	11	0.888	11247	283.30597465298735	1582918	0.33	1657		80.98	SRS1992988	3704	1579328	1582918	11247	571	212	9.327856705404022
SRS1992988_vamb_733	74.82	63.53	1.46	74.82	Neural Network (Specific Model)	11	0.901	12197	305.5462643678161	3531695	0.57	3480		67.52	SRS1992988	1724	3529975	3531695	12197	556	384	9.40894529884324
SRS1992990_vamb_2456	96.54	97.59	0.55	96.54	Neural Network (Specific Model)	11	0.872	72726	335.8210735586481	2320429	0.6	2012		93.79	SRS1992990	150	2320279	2320429	72726	65	50	11.194454233698568
SRS1992991_vamb_1277	90.74	85.5	0.07	90.74	Neural Network (Specific Model)	11	0.898	48649	314.7801072647489	4306403	0.55	4102		90.39	SRS1992991	1064	4305343	4306403	48649	238	132	10.79238653241831
SRS1992991_vamb_1348	94.11	93.33	0.07	94.11	Neural Network (Specific Model)	11	0.892	135323	319.7078017664377	4374815	0.51	4076		93.76	SRS1992991	200	4374615	4374815	135323	67	47	11.81541979232079
SRS1992991_vamb_1403	99.79	98.71	0.28	99.79	Neural Network (Specific Model)	11	0.882	306959	312.087326943557	1990916	0.4	1878		98.39	SRS1992991	300	1990616	1990916	306959	42	12	12.634469467162074
SRS1992991_vamb_602	89.59	86.78	0.01	89.59	Neural Network (Specific Model)	11	0.883	151426	316.52475811041546	1886876	0.42	1757		89.54	SRS1992991	520	1886356	1886876	151426	74	22	11.92785233575668
SRS1992991_vamb_699	77.15	90.97	0.2	77.15	Neural Network (Specific Model)	11	0.837	133414	308.82312456985545	1605476	0.44	1453		76.15	SRS1992991	1000	1604476	1605476	133414	121	21	11.80121235448329
SRS1992992_vamb_1277	81.06	63.32	0.13	81.06	Neural Network (Specific Model)	11	0.9	28016	316.855543113102	3766247	0.55	3572		80.41	SRS1992992	3641	3762607	3766247	28016	556	192	10.240531054525633
SRS1992992_vamb_1294	62.17	46.22	0.45	62.17	Neural Network (Specific Model)	11	0.89	24720	306.26884103863205	3254252	0.59	3158		59.92	SRS1992992	3086	3251202	3254252	24720	497	192	10.115367911571628
SRS1992992_vamb_1488	94.95	89.53	0.36	94.95	Neural Network (Specific Model)	11	0.884	357086	316.6120826709062	2025457	0.4	1887		93.15	SRS1992992	320	2025137	2025457	357086	42	10	12.78573192810945
SRS1992993_vamb_3060	99.99	99.47	0.09	99.99	Neural Network (Specific Model)	11	0.886	331465	319.4430949167791	4800112	0.51	4446		99.53999999999999	SRS1992993	710	4799402	4800112	331465	105	34	12.711277502340204
SRS1992993_vamb_7866	76.26	74.2	0.16	76.26	Neural Network (Specific Model)	11	0.882	258068	317.1615434924788	1646780	0.4	1529		75.46000000000001	SRS1992993	410	1646370	1646780	258068	50	9	12.46097839506784
SRS1992994_vamb_1022	93.0	94.8	0.04	93.0	Neural Network (Specific Model)	11	0.876	122330	306.8500860162202	4269038	0.51	4069		92.8	SRS1992994	600	4268438	4269038	122330	101	41	11.714477590040962
SRS1992995_vamb_1198	99.84	98.99	0.52	99.84	Neural Network (Specific Model)	11	0.863	59886	328.743375858685	2326892	0.6	2038		97.24000000000001	SRS1992995	1134	2325762	2326892	59886	174	61	11.00019803391464
SRS1992995_vamb_134	98.88	98.88	1.83	82.28	Gradient Boost (General Model)	11	0.869	8808	292.43982869379016	2354351	0.28	2335	 Singleton species	89.72999999999999	SRS1992995	10265	2344371	2354351	8808	1334	336	9.083415678402517
SRS1992995_vamb_1482	57.57	70.12	0.0	57.57	Neural Network (Specific Model)	11	0.88	77159	319.4261339991677	2613708	0.51	2403		57.57	SRS1992995	4485	2609228	2613708	77159	500	52	11.25362350685274
SRS1992995_vamb_1499	79.44	79.59	0.22	79.44	Neural Network (Specific Model)	11	0.88	35805	340.9089068825911	1720008	0.56	1482		78.34	SRS1992995	300	1719708	1720008	35805	109	79	10.48584282744104
SRS1992995_vamb_1517	67.38	63.73	0.89	67.38	Neural Network (Specific Model)	11	0.846	24297	328.9136641740313	1712894	0.66	1471	 Singleton species	62.92999999999999	SRS1992995	1059	1711844	1712894	24297	208	103	10.0981081649171
SRS1992995_vamb_1666	59.61	68.28	1.52	59.61	Gradient Boost (General Model)	11	0.821	7778	273.5230024213075	1646297	0.66	1652	Completeness was re-calibrated based on Completeness model used in all genomes of the species.	52.01	SRS1992995	3917	1642467	1646297	7778	646	263	8.959054514715692
SRS1992995_vamb_188	85.82	91.15	0.63	85.82	Neural Network (Specific Model)	11	0.885	45669	301.31908713692945	2456579	0.42	2410		82.66999999999999	SRS1992995	5995	2450729	2456579	45669	665	80	10.729175009727363
SRS1992995_vamb_196	72.32	67.16	0.66	72.32	Neural Network (Specific Model)	11	0.874	11277	263.2076528231451	1928360	0.42	2143		69.02	SRS1992995	11460	1917240	1928360	11277	1349	237	9.330520532232288
SRS1992995_vamb_497	93.08	88.81	0.03	93.08	Neural Network (Specific Model)	11	0.86	63563	347.9530685920578	2013819	0.63	1662		92.92999999999999	SRS1992995	130	2013689	2013819	63563	69	56	11.059786819033327
SRS1992995_vamb_516	78.15	74.69	1.49	78.15	Neural Network (Specific Model)	11	0.883	28552	294.59936102236423	1561273	0.42	1565		70.7	SRS1992995	2879	1558423	1561273	28552	356	71	10.259482265169996
SRS1992995_vamb_604	81.48	86.58	0.32	81.48	Neural Network (Specific Model)	11	0.9	57327	366.9042685453792	2946661	0.41	2413	 Singleton species	79.88000000000001	SRS1992995	4012	2942741	2946661	57327	479	87	10.95652699590948
SRS1992995_vamb_607	85.42	92.13	0.31	85.42	Neural Network (Specific Model)	11	0.895	91343	360.58873861440793	4371084	0.43	3623		83.87	SRS1992995	2673	4368454	4371084	91343	330	67	11.42237693051756
SRS1992995_vamb_640	94.66	98.77	0.22	94.66	Neural Network (Specific Model)	11	0.861	61080	303.143262987013	2598193	0.59	2464		93.56	SRS1992995	360	2597833	2598193	61080	97	61	11.01993975933257
SRS1992995_vamb_692	99.98	100.0	0.52	99.98	Neural Network (Specific Model)	11	0.85	55121	305.4051585169264	2003411	0.44	1861		97.38000000000001	SRS1992995	620	2002791	2003411	55121	114	52	10.917286047758097
SRS1992995_vamb_8	99.83	100.0	0.02	99.83	Neural Network (Specific Model)	11	0.894	137331	305.94333776007085	2314016	0.46	2259		99.73	SRS1992995	120	2313896	2314016	137331	37	25	11.830149349227955
SRS1992995_vamb_854	81.06	81.06	0.36	65.36	Gradient Boost (General Model)	11	0.87	10891	294.687276443536	1983246	0.36	1957	 Singleton species	79.26	SRS1992995	9650	1973926	1983246	10891	1179	247	9.295692039075686
SRS1992995_vamb_886	96.65	96.91	0.1	96.65	Neural Network (Specific Model)	11	0.916	91762	370.0788079470199	3655412	0.44	3020	 Singleton species	96.15	SRS1992995	971	3654452	3655412	91762	171	75	11.42695354755526
SRS1992998_vamb_1280	51.75	62.15	0.15	51.75	Neural Network (Specific Model)	11	0.87	40952	337.45855855855854	1289804	0.6	1110		51.0	SRS1992998	810	1288994	1289804	40952	131	50	10.62015592813742
SRS1992998_vamb_1350	88.02	95.61	0.08	88.02	Neural Network (Specific Model)	11	0.885	73168	359.2889891018414	3237856	0.46	2661		87.61999999999999	SRS1992998	340	3237516	3237856	73168	106	72	11.200513445897837
SRS1992998_vamb_1423	84.62	87.23	0.21	84.62	Neural Network (Specific Model)	11	0.886	45735	369.4745989304813	2803415	0.45	2244		83.57000000000001	SRS1992998	410	2803005	2803415	45735	132	91	10.730619148090463
SRS1992998_vamb_169	88.06	94.55	0.03	88.06	Neural Network (Specific Model)	11	0.875	49010	293.92636138613864	1624917	0.53	1616	 Singleton species	87.91	SRS1992998	120	1624797	1624917	49010	59	47	10.799779637903594
SRS1992998_vamb_1704	88.79	89.97	0.09	88.79	Neural Network (Specific Model)	11	0.886	160772	314.0319210679048	1828476	0.4	1723		88.34	SRS1992998	130	1828346	1828476	160772	26	13	11.987742491211494
SRS1992998_vamb_2058	76.37	71.96	0.01	76.37	Neural Network (Specific Model)	11	0.868	67841	359.0389395194697	1496495	0.56	1207		76.32000000000001	SRS1992998	1410	1495085	1496495	67841	171	30	11.124922010923182
SRS1992998_vamb_272	99.81	97.71	0.77	99.81	Neural Network (Specific Model)	11	0.885	32695	330.36700767263426	2621877	0.56	2346	 Singleton species	95.96000000000001	SRS1992998	2537	2619367	2621877	32695	368	117	10.394977439995376
SRS1992998_vamb_28	61.03	63.95	1.25	61.03	Neural Network (Specific Model)	11	0.847	6412	242.5865284974093	1651376	0.37	1930	 Singleton species	54.78	SRS1992998	9024	1642516	1651376	6412	1189	303	8.765926513729443
SRS1992998_vamb_411	82.08	83.02	1.45	82.08	Neural Network (Specific Model)	11	0.881	11028	276.92717678100263	1780290	0.39	1895		74.83	SRS1992998	6359	1774090	1780290	11028	832	212	9.308192772143688
SRS1992999_vamb_1305	54.76	55.41	0.9	54.76	Neural Network (Specific Model)	11	0.864	16212	359.0032733224223	1522693	0.49	1222	 Singleton species	50.26	SRS1992999	8440	1514253	1522693	16212	980	136	9.6935069877482
SRS1992999_vamb_15313	99.98	99.94	0.03	99.98	Neural Network (Specific Model)	11	0.937	390854	301.56167527251864	1678051	0.31	1743	 Singleton species	99.83	SRS1992999	90	1677961	1678051	390854	17	8	12.876089367701264
SRS1992999_vamb_1543	85.29	91.57	0.05	85.29	Neural Network (Specific Model)	11	0.874	130150	304.1326591314694	1753201	0.47	1681		85.04	SRS1992999	324	1752881	1753201	130150	60	28	11.77644291042271
SRS1992999_vamb_1601	86.71	95.4	0.2	86.71	Neural Network (Specific Model)	11	0.859	47761	329.5771144278607	2079954	0.6	1809		85.71	SRS1992999	5569	2074394	2079954	47761	631	75	10.773964685870736
SRS1992999_vamb_164	91.83	88.69	1.01	91.83	Neural Network (Specific Model)	11	0.859	56230	343.9953676896352	2071802	0.63	1727		86.78	SRS1992999	110	2071692	2071802	56230	64	53	10.937205701286247
SRS1992999_vamb_1899	69.42	73.67	1.14	69.42	Neural Network (Specific Model)	11	0.874	24195	349.378640776699	1356995	0.56	1133		63.72	SRS1992999	1910	1355085	1356995	24195	274	83	10.09390127922742
SRS1992999_vamb_2008	85.47	90.81	0.18	85.47	Neural Network (Specific Model)	11	0.881	53155	356.8579017264276	2743743	0.45	2259		84.57	SRS1992999	260	2743483	2743743	53155	100	74	10.880967452722706
SRS1992999_vamb_268	100.0	100.0	1.93	99.83	Gradient Boost (General Model)	11	0.876	107006	286.5757874015748	3980126	0.39	4064	 Singleton species	90.35	SRS1992999	3633	3976546	3980126	107006	431	73	11.580640186638268
SRS1992999_vamb_2778	61.23	68.97	0.08	61.23	Neural Network (Specific Model)	11	0.879	158438	319.3435047951177	1248531	0.4	1147		60.83	SRS1992999	420	1248111	1248531	158438	52	10	11.9731186285812
SRS1992999_vamb_441	99.62	100.0	0.38	99.62	Neural Network (Specific Model)	11	0.869	47563	311.6871384067646	2412727	0.43	2247	 Singleton species	97.72	SRS1992999	10	2412717	2412727	47563	75	74	10.76981042703236
SRS1992999_vamb_699	99.92	99.94	0.25	99.92	Neural Network (Specific Model)	11	0.842	41812	295.6746803069054	2055823	0.44	1955		98.67	SRS1992999	2200	2053623	2055823	41812	308	88	10.640938658652598
SRS1992999_vamb_759	100.0	99.2	0.17	100.0	Neural Network (Specific Model)	11	0.894	126504	352.81534221405605	5148425	0.43	4354		99.15	SRS1992999	210	5148215	5148425	126504	86	65	11.748029207203151
SRS1993000_vamb_102	84.77	93.95	5.99	84.77	Neural Network (Specific Model)	11	0.905	33221	348.60697240091304	5557805	0.42	4819	 Singleton species	54.81999999999999	SRS1993000	9587	5548315	5557805	33221	1232	283	10.410937485062204
SRS1993000_vamb_1021	99.94	100.0	0.03	99.94	Neural Network (Specific Model)	11	0.885	154750	359.7619509043928	3769586	0.46	3096		99.78999999999999	SRS1993000	650	3768936	3769586	154750	111	46	11.949566190546845
SRS1993000_vamb_126	100.0	100.0	0.31	100.0	Neural Network (Specific Model)	11	0.894	95046	300.2165029469548	2560409	0.31	2545		98.45	SRS1993000	1260	2559149	2560409	95046	178	52	11.462116263916906
SRS1993000_vamb_153	86.83	86.83	1.22	81.79	Gradient Boost (General Model)	11	0.856	23858	302.2940257711832	2706315	0.49	2561	 Singleton species	80.73	SRS1993000	4700	2701705	2706315	23858	643	182	10.079874869841891
SRS1993000_vamb_267	99.05	97.32	0.26	99.05	Neural Network (Specific Model)	11	0.913	96544	318.12011790714814	2830416	0.43	2714		97.75	SRS1993000	1460	2828966	2830416	96544	201	56	11.477754141958789
SRS1993000_vamb_338	90.72	92.95	0.34	90.72	Neural Network (Specific Model)	11	0.862	23467	324.83036597428287	2284355	0.63	2022	 Singleton species	89.02	SRS1993000	2252	2282115	2284355	23467	364	140	10.063350457922596
SRS1993000_vamb_341	98.55	98.55	3.82	99.74	Gradient Boost (General Model)	11	0.904	82301	305.83326420572376	2441249	0.34	2411	 Singleton species	79.45	SRS1993000	480	2440769	2441249	82301	95	47	11.31813853725963
SRS1993000_vamb_740	88.98	88.98	0.14	87.15	Gradient Boost (General Model)	11	0.911	34432	304.1585473870682	2253970	0.4	2258	 Singleton species	88.28	SRS1993000	3803	2250200	2253970	34432	484	107	10.446741643521456
SRS1993000_vamb_759	81.62	85.55	1.53	81.62	Neural Network (Specific Model)	11	0.895	52149	334.0444715199513	3667868	0.43	3283		73.97	SRS1993000	5361	3662558	3667868	52149	664	133	10.86186028478965
