	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count
MAG28_MAG28_1_19	MAG28	MAG28_1	19	18572	20071	1	C	K01201	glucosylceramidase [EC:3.2.1.45]								Glycosyl hydrolase family 30 TIM-barrel domain [PF02055.17]; Glycosyl hydrolase family 59 [PF02057.16]	GH30 endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-) [GH30]; GH30 endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-) [GH30_1]; GH30 endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-) [GH30_2]; GH30 endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-) [GH30_3]; GH30 endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-) [GH30_9]				0
MAG28_MAG28_1_20	MAG28	MAG28_1	20	20158	20700	1	C	K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]								Phosphoribosyl transferase domain [PF00156.28]					0
MAG28_MAG28_1_21	MAG28	MAG28_1	21	20736	21317	1	C	K00939	adenylate kinase [EC:2.7.4.3]								Adenylate kinase [PF00406.23]; AAA domain [PF13207.7]; AAA domain [PF13671.7]; AAA domain [PF13238.7]					0
MAG28_MAG28_1_22	MAG28	MAG28_1	22	21317	23056	1	D										AMP-binding enzyme [PF00501.29]					0
MAG28_MAG28_1_23	MAG28	MAG28_1	23	23271	24821	1	E															0
MAG28_MAG28_1_24	MAG28	MAG28_1	24	24879	25310	-1	D										Acetyltransferase (GNAT) domain [PF13508.8]; Acetyltransferase (GNAT) domain [PF13673.8]; Acetyltransferase (GNAT) family [PF00583.26]					0
MAG28_MAG28_1_25	MAG28	MAG28_1	25	25535	26854	1	C	K00262	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]								Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.22]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.19]					0
MAG28_MAG28_1_26	MAG28	MAG28_1	26	26916	27791	1	C	K08978	bacterial/archaeal transporter family protein								EamA-like transporter family [PF00892.21]					0
MAG28_MAG28_1_27	MAG28	MAG28_1	27	27795	28418	-1	D										NADPH-dependent FMN reductase [PF03358.16]; Flavodoxin-like fold [PF02525.18]					0
MAG28_MAG28_1_28	MAG28	MAG28_1	28	28465	28824	-1	D										YjbR [PF04237.14]					0
MAG28_MAG28_1_29	MAG28	MAG28_1	29	28827	29480	-1	C	K01091	phosphoglycolate phosphatase [EC:3.1.3.18]								Haloacid dehalogenase-like hydrolase [PF13419.7]; haloacid dehalogenase-like hydrolase [PF00702.27]; HAD-hyrolase-like [PF13242.7]					0
MAG28_MAG28_1_30	MAG28	MAG28_1	30	29589	30161	-1	D										Flavin reductase like domain [PF01613.19]					0
MAG28_MAG28_1_31	MAG28	MAG28_1	31	30174	31151	-1	C	K06889	uncharacterized protein	MER0129664	S09X	MER0129664 - family S9 non-peptidase homologues (Slackia heliotrinireducens) [S09.UNW]#S09X#{peptidase unit: 27-328}~source GEBA2500172347~	True	0.712	434.0	1.019e-135	X-Pro dipeptidyl-peptidase (S15 family) [PF02129.19]; Alpha/beta hydrolase of unknown function (DUF1100) [PF06500.12]; Abhydrolase family [PF12715.8]; Acetyl xylan esterase (AXE1) [PF05448.13]; Dienelactone hydrolase family [PF01738.19]; Serine aminopeptidase, S33 [PF12146.9]; BAAT / Acyl-CoA thioester hydrolase C terminal [PF08840.12]; Prolyl oligopeptidase family [PF00326.22]					0
MAG28_MAG28_1_32	MAG28	MAG28_1	32	31175	32122	-1	C	K07138	uncharacterized protein								Domain of unknown function (DUF362) [PF04015.13]					0
MAG28_MAG28_1_33	MAG28	MAG28_1	33	32132	33106	-1	C	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]								Cupin domain [PF07883.12]; Carboxymuconolactone decarboxylase family [PF02627.21]					0
MAG28_MAG28_1_34	MAG28	MAG28_1	34	33085	34320	-1	C	K07148	uncharacterized protein								Protein of unknown function (DUF418) [PF04235.13]					0
MAG28_MAG28_1_35	MAG28	MAG28_1	35	34438	35448	-1	D										TolB-like 6-blade propeller-like [PF15869.6]					0
MAG28_MAG28_1_36	MAG28	MAG28_1	36	35451	36308	-1	D										Protein of unknown function (Porph_ging) [PF09697.11]					0
MAG28_MAG28_1_37	MAG28	MAG28_1	37	36320	38932	-1	D										TonB dependent receptor [PF00593.25]					0
MAG28_MAG28_1_38	MAG28	MAG28_1	38	39045	40646	-1	D										Domain of unknown function (DUF3943) [PF13084.7]					0
MAG28_MAG28_1_39	MAG28	MAG28_1	39	40757	41596	-1	E															0
MAG28_MAG28_1_40	MAG28	MAG28_1	40	41715	42290	-1	D										Cyclic nucleotide-binding domain [PF00027.30]					0
MAG28_MAG28_1_41	MAG28	MAG28_1	41	42297	42926	-1	E															0
MAG28_MAG28_1_42	MAG28	MAG28_1	42	43063	43638	1	C	K01246	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]								Methyladenine glycosylase [PF03352.14]					0
MAG28_MAG28_1_43	MAG28	MAG28_1	43	43639	44958	-1	D										tRNA-splicing ligase RtcB [PF01139.18]		sp|P46850|RTCB_ECOLI	Xr;Xh	sp|P46850|RTCB_ECOLI RNA-splicing ligase RtcB; XhXr	0
MAG28_MAG28_1_44	MAG28	MAG28_1	44	45010	46038	-1	D										WYL domain [PF13280.7]					0
MAG28_MAG28_1_45	MAG28	MAG28_1	45	46409	47830	1	C	K11089	60 kDa SS-A/Ro ribonucleoprotein								TROVE domain [PF05731.12]		sp|O08848|RO60_MOUSE	Xr	sp|O08848|RO60_MOUSE 60 kDa SS-A/Ro ribonucleoprotein; Xr	0
MAG28_MAG28_1_46	MAG28	MAG28_1	46	48511	49281	1	D			MER0232760	S33	MER0232760 - family S33 unassigned peptidases (Bacillus cellulosilyticus) [S33.UPW]#S33#{peptidase unit: 21-244}~source YP_004096312~	False	0.514	212.0	4.0959999999999997e-60	Serine aminopeptidase, S33 [PF12146.9]; alpha/beta hydrolase fold [PF00561.21]; Alpha/beta hydrolase family [PF12697.8]; TAP-like protein [PF08386.11]; Alpha/beta hydrolase of unknown function (DUF1057) [PF06342.13]; Thioesterase domain [PF00975.21]					0
MAG28_MAG28_1_47	MAG28	MAG28_1	47	49284	50267	1	D										Mur ligase middle domain [PF08245.13]					0
MAG28_MAG28_10_1	MAG28	MAG28_10	1	2	97	1	E															0
MAG28_MAG28_10_2	MAG28	MAG28_10	2	145	1638	1	D										Protein of unknown function (DUF3078) [PF11276.9]					0
MAG28_MAG28_10_3	MAG28	MAG28_10	3	1638	2165	1	E															0
MAG28_MAG28_10_4	MAG28	MAG28_10	4	2162	2647	1	E															0
MAG28_MAG28_10_5	MAG28	MAG28_10	5	2644	3096	1	C	K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]								D-Tyr-tRNA(Tyr) deacylase [PF02580.17]					0
MAG28_MAG28_10_6	MAG28	MAG28_10	6	3174	3473	1	C	K03671	thioredoxin 1								Thioredoxin [PF00085.21]; Redoxin [PF08534.11]; Thioredoxin-like [PF13899.7]; Thioredoxin-like [PF13905.7]; AhpC/TSA family [PF00578.22]; F plasmid transfer operon protein [PF13728.7]; Eukaryotic protein of unknown function (DUF953) [PF06110.12]; Thioredoxin [PF14595.7]					0
MAG28_MAG28_10_7	MAG28	MAG28_10	7	3492	3800	1	D										Thioredoxin [PF00085.21]					0
MAG28_MAG28_10_8	MAG28	MAG28_10	8	3898	4986	-1	D										YhcG PDDEXK nuclease domain [PF06250.12]; DUF1016 N-terminal domain [PF17761.2]					0
MAG28_MAG28_10_9	MAG28	MAG28_10	9	5127	7661	-1	D										alpha-L-rhamnosidase [PF17132.5]; Glycosyl hydrolases family 2, sugar binding domain [PF02837.19]	GH106 alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174) [GH106]				0
MAG28_MAG28_10_10	MAG28	MAG28_10	10	7619	8938	-1	D										Glycosyl hydrolases family 28 [PF00295.18]; Pectate lyase superfamily protein [PF12708.8]	GH28 polygalacturonase (EC 3.2.1.15); alpha-L-rhamnosidase (EC 3.2.1.40); exo-polygalacturonase (EC 3.2.1.67); exo-polygalacturonosidase (EC 3.2.1.82); rhamnogalacturonase (EC 3.2.1.171); rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC 3.2.1.173); endo-xylogalacturonan hydrolase (EC 3.2.1.-) [GH28]				0
MAG28_MAG28_10_11	MAG28	MAG28_10	11	8941	10422	-1	C	K01685	altronate hydrolase [EC:4.2.1.7]								D-galactarate dehydratase / Altronate hydrolase, C terminus [PF04295.14]					0
MAG28_MAG28_10_12	MAG28	MAG28_10	12	10419	11861	-1	C	K00041	tagaturonate reductase [EC:1.1.1.58]								Mannitol dehydrogenase C-terminal domain [PF08125.14]; Mannitol dehydrogenase Rossmann domain [PF01232.24]					0
MAG28_MAG28_10_13	MAG28	MAG28_10	13	11858	13321	-1	C	K08191	MFS transporter, ACS family, hexuronate transporter								Major Facilitator Superfamily [PF07690.17]; Sugar (and other) transporter [PF00083.25]					0
MAG28_MAG28_10_14	MAG28	MAG28_10	14	13345	14757	-1	C	K01812	glucuronate isomerase [EC:5.3.1.12]								Glucuronate isomerase [PF02614.15]					0
MAG28_MAG28_10_15	MAG28	MAG28_10	15	14925	15926	-1	D										lactate/malate dehydrogenase, NAD binding domain [PF00056.24]; lactate/malate dehydrogenase, alpha/beta C-terminal domain [PF02866.19]					0
MAG28_MAG28_10_16	MAG28	MAG28_10	16	16058	16975	1	D										Glycosyltransferase like family 2 [PF13641.7]; Glycosyl transferase family 2 [PF00535.27]; Glycosyltransferase like family 2 [PF10111.10]	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glycos_transf_2]; GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289) [GT2_Glyco_tranf_2_3]				0
MAG28_MAG28_10_17	MAG28	MAG28_10	17	16999	18357	-1	C	K07133	uncharacterized protein								Domain of unknown function (DUF4143) [PF13635.7]; AAA domain [PF13173.7]					0
MAG28_MAG28_10_18	MAG28	MAG28_10	18	18448	18543	1	E															0
MAG28_MAG28_10_19	MAG28	MAG28_10	19	18590	20356	1	C	K07091	lipopolysaccharide export system permease protein								Lipopolysaccharide export system permease LptF/LptG [PF03739.15]					0
MAG28_MAG28_10_20	MAG28	MAG28_10	20	20353	21561	1	C	K14652	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]								3,4-dihydroxy-2-butanone 4-phosphate synthase [PF00926.20]; GTP cyclohydrolase II [PF00925.21]					0
MAG28_MAG28_10_21	MAG28	MAG28_10	21	21561	22055	1	E															0
MAG28_MAG28_10_22	MAG28	MAG28_10	22	22135	22767	1	E															0
MAG28_MAG28_10_23	MAG28	MAG28_10	23	22751	23575	1	D										Nucleotidyl transferase AbiEii toxin, Type IV TA system [PF08843.12]					0
MAG28_MAG28_10_24	MAG28	MAG28_10	24	23655	24884	-1	C	K01468	imidazolonepropionase [EC:3.5.2.7]	MER0863636	M38	MER0863636 - family M38 non-peptidase homologues (Prevotella sp. CAG:1031) [M38.UNW]#M38#{peptidase unit: 60-381}~source R5B000~	True	0.687	442.0	6.957999999999998e-137	Amidohydrolase family [PF01979.21]; Amidohydrolase family [PF07969.12]					0
MAG28_MAG28_10_25	MAG28	MAG28_10	25	24866	26353	-1	C	K01745	histidine ammonia-lyase [EC:4.3.1.3]								Aromatic amino acid lyase [PF00221.20]					0
MAG28_MAG28_10_26	MAG28	MAG28_10	26	26496	28511	-1	C	K01712	urocanate hydratase [EC:4.2.1.49]								Urocanase C-terminal domain [PF17392.3]; Urocanase Rossmann-like domain [PF01175.19]; Urocanase N-terminal domain [PF17391.3]					0
MAG28_MAG28_10_27	MAG28	MAG28_10	27	28508	30187	-1	C	K13990	glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]								Formiminotransferase domain, N-terminal subdomain [PF07837.13]; Formiminotransferase domain [PF02971.15]; Formiminotransferase-cyclodeaminase [PF04961.13]					0
MAG28_MAG28_10_28	MAG28	MAG28_10	28	30254	31210	-1	D										Cobalamin synthesis protein cobW C-terminal domain [PF07683.15]; CobW/HypB/UreG, nucleotide-binding domain [PF02492.20]					0
MAG28_MAG28_100_1	MAG28	MAG28_100	1	3	101	1	E															0
MAG28_MAG28_100_2	MAG28	MAG28_100	2	159	2024	-1	D										Radical SAM N-terminal [PF08497.11]; Domain of unknown function (DUF3362) [PF11842.9]; B12 binding domain [PF02310.20]					0
MAG28_MAG28_100_3	MAG28	MAG28_100	3	2021	4120	-1	C	K03702	excinuclease ABC subunit B								Type III restriction enzyme, res subunit [PF04851.16]; Ultra-violet resistance protein B [PF12344.9]; UvrB interaction domain [PF17757.2]; Helicase conserved C-terminal domain [PF00271.32]		sp|P20703|UVSW_BPT4	Xh	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh	0
MAG28_MAG28_100_4	MAG28	MAG28_100	4	4293	5144	1	D										OmpA family [PF00691.21]					0
MAG28_MAG28_100_5	MAG28	MAG28_100	5	5264	6082	1	D										Serine/Threonine/Tyrosine Kinase found in polyvalent proteins [PF18762.2]					0
MAG28_MAG28_100_6	MAG28	MAG28_100	6	6190	9081	1	C	K12257	SecD/SecF fusion protein								Protein export membrane protein [PF02355.17]; MMPL family [PF03176.16]					0
MAG28_MAG28_101_1	MAG28	MAG28_101	1	2	325	1	E															0
MAG28_MAG28_101_2	MAG28	MAG28_101	2	322	762	1	E															0
MAG28_MAG28_101_3	MAG28	MAG28_101	3	874	975	1	E															0
MAG28_MAG28_101_4	MAG28	MAG28_101	4	996	1499	1	C	K03088	RNA polymerase sigma-70 factor, ECF subfamily								Sigma-70, region 4 [PF08281.13]; Sigma-70 region 2 [PF04542.15]; ECF sigma factor [PF07638.12]					0
MAG28_MAG28_101_5	MAG28	MAG28_101	5	1797	2897	1	D										Acyltransferase family [PF01757.23]					0
MAG28_MAG28_101_6	MAG28	MAG28_101	6	2904	4922	-1	D										Bacterial Ig-like domain [PF13205.7]					0
MAG28_MAG28_101_7	MAG28	MAG28_101	7	4922	5899	-1	D										Polyprenyl synthetase [PF00348.18]					0
MAG28_MAG28_101_8	MAG28	MAG28_101	8	6040	8085	-1	C	K04079	molecular chaperone HtpG								Hsp90 protein [PF00183.19]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.7]					0
MAG28_MAG28_101_9	MAG28	MAG28_101	9	8555	9181	1	E															0
MAG28_MAG28_102_1	MAG28	MAG28_102	1	3	296	1	C	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]													0
MAG28_MAG28_102_2	MAG28	MAG28_102	2	299	1888	1	C	K03797	carboxyl-terminal processing protease [EC:3.4.21.102]	MER0240919	S41A	MER0240919 - CtpA peptidase ({Synechocystis}-type) (Bacteroides salanitronis) [S41.008]#S41A#{peptidase unit: 31-342}~source YP_004259353~	True	0.615	376.0	2.744e-112	Peptidase family S41 [PF03572.19]; PDZ domain [PF13180.7]; PDZ domain [PF17820.2]					0
MAG28_MAG28_102_3	MAG28	MAG28_102	3	2148	2786	1	E															0
MAG28_MAG28_102_4	MAG28	MAG28_102	4	2853	4529	1	D										AMP-binding enzyme [PF00501.29]; AMP-binding enzyme C-terminal domain [PF13193.7]					0
MAG28_MAG28_102_5	MAG28	MAG28_102	5	4608	5897	-1	E															0
MAG28_MAG28_102_6	MAG28	MAG28_102	6	5878	6441	-1	E															0
MAG28_MAG28_102_7	MAG28	MAG28_102	7	6492	7775	-1	D										Family of unknown function (DUF5309) [PF17236.3]					0
MAG28_MAG28_102_8	MAG28	MAG28_102	8	7890	8150	1	D										Protein of unknown function (DUF1573) [PF07610.12]					0
MAG28_MAG28_102_9	MAG28	MAG28_102	9	8210	8959	1	D										Protein of unknown function (DUF1573) [PF07610.12]					0
MAG28_MAG28_103_1	MAG28	MAG28_103	1	1	1644	1	C	K02945	small subunit ribosomal protein S1								S1 RNA binding domain [PF00575.24]					0
MAG28_MAG28_103_2	MAG28	MAG28_103	2	1719	2540	-1	C	K07271	lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]								LicD family [PF04991.14]					0
MAG28_MAG28_103_3	MAG28	MAG28_103	3	2533	3969	-1	C	K16694	teichuronic acid exporter								Polysaccharide biosynthesis protein [PF13440.7]; Polysaccharide biosynthesis protein [PF01943.18]; Lipid II flippase MurJ [PF03023.15]					0
MAG28_MAG28_103_4	MAG28	MAG28_103	4	3969	4667	-1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.7]; short chain dehydrogenase [PF00106.26]		sp|P37079|SORD_KLEPN	Xh	sp|P37079|SORD_KLEPN Sorbitol-6-phosphate 2-dehydrogenase; Xh	0
MAG28_MAG28_103_5	MAG28	MAG28_103	5	4679	5485	-1	D										Glycerophosphoryl diester phosphodiesterase family [PF03009.18]					0
MAG28_MAG28_103_6	MAG28	MAG28_103	6	5498	6841	-1	C	K00980	glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]								Oxidoreductase family, NAD-binding Rossmann fold [PF01408.23]; Cytidylyltransferase-like [PF01467.27]		sp|Q2G2X2|TARD_STAA8	Xh	sp|Q2G2X2|TARD_STAA8 Glycerol-3-phosphate cytidylyltransferase; Xh	0
MAG28_MAG28_103_7	MAG28	MAG28_103	7	6852	7577	-1	C	K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]								PAP2 superfamily [PF01569.22]					0
MAG28_MAG28_103_8	MAG28	MAG28_103	8	7589	8998	-1	D										Sulfatase [PF00884.24]					0
MAG28_MAG28_104_1	MAG28	MAG28_104	1	2	469	1	E															0
MAG28_MAG28_104_2	MAG28	MAG28_104	2	478	1743	1	E															0
MAG28_MAG28_104_3	MAG28	MAG28_104	3	1751	5023	1	D			MER0345712	M26	MER0345712 - family M26 non-peptidase homologues (Sulfurospirillum barnesii) [M26.UNW]#M26#{peptidase unit: 423-657}~source YP_006404335~	False	0.281	85.0	4.259e-15						0
MAG28_MAG28_104_4	MAG28	MAG28_104	4	5220	8510	-1	E															0
MAG28_MAG28_104_5	MAG28	MAG28_104	5	8722	8961	1	D										Sugar nucleotidyl transferase [PF13562.7]					0
MAG28_MAG28_105_1	MAG28	MAG28_105	1	1	282	1	E															0
MAG28_MAG28_105_2	MAG28	MAG28_105	2	317	712	1	E															0
MAG28_MAG28_105_3	MAG28	MAG28_105	3	699	920	1	E															0
MAG28_MAG28_105_4	MAG28	MAG28_105	4	907	1929	1	D										Radical SAM superfamily [PF04055.22]; 4Fe-4S single cluster domain [PF13353.7]; 4Fe-4S single cluster domain [PF13394.7]					0
MAG28_MAG28_105_5	MAG28	MAG28_105	5	2218	2802	1	C	K07040	uncharacterized protein								Large ribosomal RNA subunit accumulation protein YceD [PF02620.18]					0
MAG28_MAG28_105_6	MAG28	MAG28_105	6	2836	3021	1	C	K02911	large subunit ribosomal protein L32								Ribosomal L32p protein family [PF01783.24]					0
