Bin Id	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
MAG11	99.97	98.24	0.09	99.97	Neural Network (Specific Model)	11	0.871	186178	340.06374881065653	2459190	0.6	2102	None	99.52	SRS1992960	40	2459150	2459190	186178	27	23	12.134458484320376
MAG12	99.83	100.0	0.02	99.83	Neural Network (Specific Model)	11	0.894	137331	305.94333776007085	2314016	0.46	2259	None	99.73	SRS1992995	120	2313896	2314016	137331	37	25	11.830149349227955
MAG13	58.37	59.45	0.02	58.37	Neural Network (Specific Model)	11	0.88	34817	366.63460253841015	1869245	0.46	1497	None	58.27	SRS1992962	150	1869095	1869245	34817	87	72	10.457861052229603
MAG14	94.66	98.77	0.22	94.66	Neural Network (Specific Model)	11	0.861	61080	303.143262987013	2598193	0.59	2464	None	93.56	SRS1992995	360	2597833	2598193	61080	97	61	11.01993975933257
MAG15	69.83	63.23	2.04	69.83	Neural Network (Specific Model)	11	0.904	10014	321.4006653992396	2237025	0.43	2104	None	59.63	SRS1992962	8154	2229095	2237025	10014	1092	299	9.211739392889893
MAG16	82.35	82.35	0.38	86.72	Gradient Boost (General Model)	11	0.862	109662	337.96354992076067	2225396	0.37	1893	None	80.44999999999999	SRS1992962	440	2224956	2225396	109662	81	37	11.605158186982496
MAG17	99.98	96.73	0.44	99.98	Neural Network (Specific Model)	11	0.909	47382	302.9292851652575	2595559	0.29	2602	None	97.78	SRS1992962	3354	2592229	2595559	47382	452	119	10.765997688725635
MAG18	98.09	95.64	0.05	98.09	Neural Network (Specific Model)	11	0.898	68201	316.02824339839265	4590616	0.55	4355	None	97.84	SRS1992978	220	4590396	4590616	68201	114	92	11.130214506480655
MAG19	80.38	82.39	4.21	80.38	Neural Network (Specific Model)	11	0.859	14038	271.1198637428146	4430496	0.55	4697	None	59.33	SRS1992964	10343	4420356	4430496	14038	1495	481	9.549523217290366
MAG20	99.35	99.03	0.0	99.35	Neural Network (Specific Model)	11	0.878	44330	322.8408751864744	2213355	0.54	2011	None	99.35	SRS1993004	30	2213325	2213355	44330	71	68	10.6994169277391
MAG21	100.0	100.0	0.31	100.0	Neural Network (Specific Model)	11	0.894	95046	300.2165029469548	2560409	0.31	2545	None	98.45	SRS1993000	1260	2559149	2560409	95046	178	52	11.462116263916906
MAG22	100.0	99.45	2.29	100.0	Neural Network (Specific Model)	11	0.859	26244	295.82985852568873	2769948	0.38	2686	None	88.55	SRS1992968	1893	2768078	2769948	26244	368	181	10.175192670464767
MAG23	96.91	100.0	0.1	96.91	Neural Network (Specific Model)	11	0.885	151050	314.38854718981975	5016627	0.58	4715	None	96.41	SRS1993058	620	5016007	5016627	151050	109	47	11.925366186814818
MAG24	94.6	92.34	0.04	94.6	Neural Network (Specific Model)	11	0.89	72065	311.026750142288	1839291	0.42	1757	None	94.4	SRS1992988	1039	1838271	1839291	72065	133	31	11.185323768517204
MAG25	85.08	90.56	0.39	85.08	Neural Network (Specific Model)	11	0.835	50145	338.2519379844961	1879392	0.6	1548	None	83.13	SRS1992972	1013	1878402	1879392	50145	154	55	10.822674087522309
MAG26	100.0	100.0	0.02	100.0	Neural Network (Specific Model)	11	0.898	125340	304.1421495789995	2047023	0.35	2019	None	99.9	SRS1993062	420	2046603	2047023	125340	74	32	11.738785323778666
MAG27	81.18	85.48	0.04	81.18	Neural Network (Specific Model)	11	0.888	11247	283.30597465298735	1582918	0.33	1657	None	80.98	SRS1992988	3704	1579328	1582918	11247	571	212	9.327856705404022
MAG28	76.82	77.75	0.54	76.82	Neural Network (Specific Model)	11	0.902	19545	283.88856304985336	1284204	0.39	1364	None	74.11999999999999	SRS1992974	2929	1281364	1284204	19545	373	89	9.880474778227056
MAG29	96.21	100.0	0.05	96.21	Neural Network (Specific Model)	11	0.897	60033	304.5985682819383	1845866	0.4	1816	None	95.96	SRS1993058	591	1845276	1845866	60033	106	47	11.002649690009672
MAG30	99.92	99.94	0.25	99.92	Neural Network (Specific Model)	11	0.842	41812	295.6746803069054	2055823	0.44	1955	None	98.67	SRS1992999	2200	2053623	2055823	41812	308	88	10.640938658652598
MAG31	77.8	87.3	2.16	77.8	Neural Network (Specific Model)	11	0.884	8257	253.0804111245465	1415803	0.43	1654	None	67.0	SRS1992980	6290	1409653	1415803	8257	832	217	9.01881660441743
MAG32	89.49	95.18	2.6	89.49	Neural Network (Specific Model)	11	0.886	81917	320.3079977311401	1909929	0.39	1763	None	76.49	SRS1992988	390	1909539	1909929	81917	76	37	11.313461818509015
MAG33	74.82	63.53	1.46	74.82	Neural Network (Specific Model)	11	0.901	12197	305.5462643678161	3531695	0.57	3480	None	67.52	SRS1992988	1724	3529975	3531695	12197	556	384	9.40894529884324
MAG34	99.84	98.99	0.52	99.84	Neural Network (Specific Model)	11	0.863	59886	328.743375858685	2326892	0.6	2038	None	97.24	SRS1992995	1134	2325762	2326892	59886	174	61	11.00019803391464
MAG35	98.88	98.88	1.83	82.28	Gradient Boost (General Model)	11	0.869	8808	292.43982869379016	2354351	0.28	2335	None	89.72999999999999	SRS1992995	10265	2344371	2354351	8808	1334	336	9.083415678402517
MAG36	99.95	100.0	0.51	99.95	Neural Network (Specific Model)	11	0.871	148242	345.1541547277937	2071020	0.56	1745	None	97.4	SRS1993003	1820	2069200	2071020	148242	218	36	11.906601352503415
MAG37	67.38	63.73	0.89	67.38	Neural Network (Specific Model)	11	0.846	24297	328.9136641740313	1712894	0.66	1471	None	62.92999999999999	SRS1992995	1059	1711844	1712894	24297	208	103	10.0981081649171
MAG38	85.11	84.8	0.7	85.11	Neural Network (Specific Model)	11	0.838	34106	322.8907161803713	2175581	0.67	1885	None	81.61	SRS1993002	700	2174881	2175581	34106	164	94	10.43722860087286
MAG39	99.95	98.32	0.16	99.95	Neural Network (Specific Model)	11	0.888	182340	323.0547742413028	2942858	0.41	2702	None	99.15	SRS1993004	190	2942668	2942858	182340	44	25	12.113628355138896
MAG40	87.03	92.34	0.2	87.03	Neural Network (Specific Model)	11	0.894	62023	311.7249259415997	2465886	0.42	2363	None	86.03	SRS1993001	1716	2464176	2465886	62023	222	51	11.035260562977644
MAG41	98.54	98.54	0.24	98.54	Neural Network (Specific Model)	11	0.858	121489	350.76075427224515	2077205	0.63	1697	None	97.34	SRS1993002	220	2076985	2077205	121489	52	30	11.707579002684778
MAG42	81.48	86.58	0.32	81.48	Neural Network (Specific Model)	11	0.9	57327	366.9042685453792	2946661	0.41	2413	None	79.88000000000001	SRS1992995	4012	2942741	2946661	57327	479	87	10.95652699590948
MAG43	97.86	100.0	0.55	97.86	Neural Network (Specific Model)	11	0.897	183521	366.0127970749543	4681503	0.43	3829	None	95.11	SRS1993002	680	4680823	4681503	183521	102	34	12.120084381345736
MAG44	81.06	81.06	0.36	65.36	Gradient Boost (General Model)	11	0.87	10891	294.687276443536	1983246	0.36	1957	None	79.26	SRS1992995	9650	1973926	1983246	10891	1179	247	9.295692039075686
MAG45	96.65	96.91	0.1	96.65	Neural Network (Specific Model)	11	0.916	91762	370.0788079470199	3655412	0.44	3020	None	96.15	SRS1992995	971	3654452	3655412	91762	171	75	11.42695354755526
MAG46	88.06	94.55	0.03	88.06	Neural Network (Specific Model)	11	0.875	49010	293.92636138613864	1624917	0.53	1616	None	87.91	SRS1992998	120	1624797	1624917	49010	59	47	10.799779637903594
MAG47	99.81	97.71	0.77	99.81	Neural Network (Specific Model)	11	0.885	32695	330.36700767263426	2621877	0.56	2346	None	95.96	SRS1992998	2537	2619367	2621877	32695	368	117	10.394977439995376
MAG48	61.03	63.95	1.25	61.03	Neural Network (Specific Model)	11	0.847	6412	242.5865284974093	1651376	0.37	1930	None	54.78	SRS1992998	9024	1642516	1651376	6412	1189	303	8.765926513729443
MAG49	54.76	55.41	0.9	54.76	Neural Network (Specific Model)	11	0.864	16212	359.0032733224223	1522693	0.49	1222	None	50.26	SRS1992999	8440	1514253	1522693	16212	980	136	9.6935069877482
MAG50	99.98	99.94	0.03	99.98	Neural Network (Specific Model)	11	0.937	390854	301.56167527251864	1678051	0.31	1743	None	99.83	SRS1992999	90	1677961	1678051	390854	17	8	12.876089367701264
MAG51	98.43	97.06	0.09	98.43	Neural Network (Specific Model)	11	0.87	140251	306.6605504587156	1842538	0.47	1744	None	97.98	SRS1993002	0	1842538	1842538	140251	26	26	11.8511889534843
MAG52	100.0	100.0	1.93	99.83	Gradient Boost (General Model)	11	0.876	107006	286.5757874015748	3980126	0.39	4064	None	90.35	SRS1992999	3633	3976546	3980126	107006	431	73	11.580640186638268
MAG53	99.62	100.0	0.38	99.62	Neural Network (Specific Model)	11	0.869	47563	311.6871384067646	2412727	0.43	2247	None	97.72	SRS1992999	10	2412717	2412727	47563	75	74	10.76981042703236
MAG54	100.0	99.2	0.17	100.0	Neural Network (Specific Model)	11	0.894	126504	352.81534221405605	5148425	0.43	4354	None	99.15	SRS1992999	210	5148215	5148425	126504	86	65	11.748029207203151
MAG55	84.77	93.95	5.99	84.77	Neural Network (Specific Model)	11	0.905	33221	348.60697240091304	5557805	0.42	4819	None	54.81999999999999	SRS1993000	9587	5548315	5557805	33221	1232	283	10.410937485062204
MAG56	86.83	86.83	1.22	81.79	Gradient Boost (General Model)	11	0.856	23858	302.2940257711832	2706315	0.49	2561	None	80.73	SRS1993000	4700	2701705	2706315	23858	643	182	10.079874869841891
MAG57	99.05	97.32	0.26	99.05	Neural Network (Specific Model)	11	0.913	96544	318.12011790714814	2830416	0.43	2714	None	97.75	SRS1993000	1460	2828966	2830416	96544	201	56	11.477754141958789
MAG58	90.72	92.95	0.34	90.72	Neural Network (Specific Model)	11	0.862	23467	324.83036597428287	2284355	0.63	2022	None	89.02	SRS1993000	2252	2282115	2284355	23467	364	140	10.063350457922596
MAG59	98.55	98.55	3.82	99.74	Gradient Boost (General Model)	11	0.904	82301	305.83326420572376	2441249	0.34	2411	None	79.45	SRS1993000	480	2440769	2441249	82301	95	47	11.31813853725963
MAG60	88.98	88.98	0.14	87.15	Gradient Boost (General Model)	11	0.911	34432	304.1585473870682	2253970	0.4	2258	None	88.28	SRS1993000	3803	2250200	2253970	34432	484	107	10.446741643521456
MAG61	93.7	92.84	0.58	93.7	Neural Network (Specific Model)	11	0.866	70407	333.28706293706296	3296872	0.41	2860	None	90.8	SRS1993134	370	3296502	3296872	70407	97	60	11.1620479690213
MAG62	100.0	100.0	0.22	100.0	Neural Network (Specific Model)	11	0.863	175697	295.10004786979414	2140305	0.37	2089	None	98.9	SRS1993150	130	2140175	2140305	175697	33	20	12.07651619947051
MAG63	86.48	95.46	0.0	86.48	Neural Network (Specific Model)	4	0.913	55948	335.4655493482309	590021	0.28	537	None	86.48	SRS1993004	230	589791	590021	55948	39	16	10.932177966899197
MAG64	99.98	100.0	0.15	99.98	Neural Network (Specific Model)	11	0.877	106051	288.96670428893907	1748231	0.37	1772	None	99.23	SRS1993092	30	1748201	1748231	106051	24	21	11.57167538946275
MAG65	99.88	99.26	0.03	99.88	Neural Network (Specific Model)	11	0.885	62966	365.7854511970534	2690662	0.5	2172	None	99.73	SRS1993001	767	2689902	2690662	62966	137	61	11.050350177152948
MAG66	86.57	90.68	1.24	86.57	Neural Network (Specific Model)	11	0.874	44283	269.6883950617284	1868809	0.45	2025	None	80.36999999999999	SRS1993106	9107	1859909	1868809	44283	977	87	10.698356135205106
MAG67	80.87	80.1	1.55	80.87	Neural Network (Specific Model)	11	0.89	16488	307.3542452830189	2190417	0.41	2120	None	73.12	SRS1993134	3378	2187057	2190417	16488	517	181	9.710388122570295
MAG68	97.06	97.06	0.85	89.07	Gradient Boost (General Model)	11	0.901	34221	301.4113892979872	2040904	0.34	2037	None	92.81	SRS1993004	773	2040144	2040904	34221	163	87	10.440594769696007
MAG69	81.05	80.0	0.0	81.05	Neural Network (Specific Model)	11	0.877	60506	347.8818624044476	1709855	0.59	1439	None	81.05	SRS1993108	140	1709715	1709855	60506	65	51	11.01049781265528
MAG70	99.99	100.0	0.03	99.99	Neural Network (Specific Model)	11	0.945	152912	303.0431235431236	1645494	0.3	1716	None	99.84	SRS1993002	300	1645194	1645494	152912	46	16	11.93761787150596
MAG71	82.72	92.47	1.17	82.72	Neural Network (Specific Model)	11	0.869	8368	307.8901707429626	2299429	0.29	2167	None	76.87	SRS1993003	4048	2295439	2299429	8368	751	352	9.032170186304704
MAG72	84.3	84.3	0.19	83.39	Gradient Boost (General Model)	11	0.87	28464	316.03699059561126	1736091	0.65	1595	None	83.35	SRS1993004	1684	1734411	1736091	28464	264	96	10.256395409905616
MAG73	86.59	86.59	0.67	78.72	Gradient Boost (General Model)	11	0.905	38969	369.4887218045113	1300982	0.35	1064	None	83.24000000000001	SRS1993004	433	1300552	1300982	38969	86	43	10.57052173723882
MAG74	64.14	65.13	1.77	64.14	Neural Network (Specific Model)	11	0.867	24233	283.7419859265051	1252199	0.47	1279	None	55.29	SRS1993004	1926	1250289	1252199	24233	267	76	10.095470619600714
MAG75	77.99	79.15	1.05	77.99	Neural Network (Specific Model)	11	0.79	7335	276.4344827586207	1669648	0.53	1595	None	72.74	SRS1993006	3527	1666238	1669648	7335	609	268	8.900412690577083
MAG76	99.86	100.0	0.06	99.86	Neural Network (Specific Model)	11	0.898	99812	304.1660516605166	1648687	0.36	1626	None	99.56	SRS1993058	30	1648657	1648687	99812	30	27	11.51104369555221
MAG77	99.45	100.0	0.9	99.45	Neural Network (Specific Model)	11	0.881	39879	302.9326315789474	1956593	0.5	1900	None	94.95	SRS1993062	500	1956093	1956593	39879	118	68	10.593605148535708
MAG78	94.04	93.64	0.37	94.04	Neural Network (Specific Model)	11	0.868	15060	303.8104902477596	3977735	0.63	3794	None	92.19	SRS1993150	13400	3964335	3977735	15060	1746	406	9.619797501353885
MAG79	87.58	80.81	0.88	87.58	Neural Network (Specific Model)	11	0.893	47406	308.93470286133527	4238298	0.52	4089	None	83.17999999999999	SRS1993150	1720	4236578	4238298	47406	333	161	10.766504081950789
MAG80	83.73	85.09	0.1	83.73	Neural Network (Specific Model)	11	0.885	89749	306.5556938394524	1666511	0.37	1607	None	83.23	SRS1993066	1991	1664541	1666511	89749	223	26	11.40477216422717
MAG81	55.02	56.24	0.11	55.02	Neural Network (Specific Model)	11	0.878	8016	254.61704119850188	1853395	0.34	2136	None	54.470000000000006	SRS1993066	10456	1843285	1853395	8016	1312	301	8.989194823324645
MAG82	99.99	98.76	0.02	99.99	Neural Network (Specific Model)	11	0.89	77871	307.2354724608388	2047363	0.4	1979	None	99.89	SRS1993078	1554	2045843	2047363	77871	189	37	11.262808890404589
MAG83	97.19	92.3	0.01	97.19	Neural Network (Specific Model)	11	0.867	54893	296.3521907931226	1846967	0.4	1803	None	97.14	SRS1993150	400	1846567	1846967	54893	97	57	10.913141114814492
MAG84	72.69	90.01	2.45	72.69	Neural Network (Specific Model)	11	0.874	24588	252.62002412545235	1431345	0.44	1658	None	60.44	SRS1993106	9458	1422115	1431345	24588	1016	93	10.1100137980269
MAG85	99.95	99.11	0.3	99.95	Neural Network (Specific Model)	11	0.876	639478	284.9116551357105	1829780	0.38	1879	None	98.45	SRS1993140	310	1829470	1829780	639478	38	7	13.36840749753281
MAG86	90.91	92.26	1.69	90.91	Neural Network (Specific Model)	11	0.874	28296	284.61213991769546	1894051	0.42	1944	None	82.46	SRS1993116	11379	1882951	1894051	28296	1216	106	10.250475730885316
MAG87	100.0	100.0	0.1	100.0	Neural Network (Specific Model)	11	0.944	63805	298.8538942581012	1664238	0.34	1759	None	99.5	SRS1993132	797	1663448	1664238	63805	134	55	11.063586836168076
MAG88	81.55	99.56	1.37	81.55	Neural Network (Specific Model)	11	0.903	62975	314.8586753731343	2239520	0.37	2144	None	74.7	SRS1993134	130	2239390	2239520	62975	57	44	11.05049310122081
MAG89	92.38	91.64	0.87	92.38	Neural Network (Specific Model)	11	0.904	28714	300.0051993067591	2290623	0.33	2308	None	88.03	SRS1993134	1030	2289593	2290623	28714	222	119	10.26514008768764
MAG90	81.07	81.07	1.61	84.92	Gradient Boost (General Model)	11	0.892	12361	281.901138952164	2075304	0.41	2195	None	73.02	SRS1993134	3955	2071374	2075304	12361	630	237	9.422301633887823
MAG91	98.68	100.0	0.42	98.68	Neural Network (Specific Model)	11	0.873	145983	343.8019241652518	2086036	0.6	1767	None	96.58	SRS1993134	389	2085656	2086036	145983	62	24	11.891245455554838
MAG92	99.98	97.97	1.24	99.98	Neural Network (Specific Model)	11	0.879	85971	298.1418636995828	2191781	0.35	2157	None	93.78	SRS1993150	953	2190841	2191781	85971	145	51	11.361765309065476
